图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
且听风吟,風の歌を聴け,http://book.douban.com/subject/1039752/,http://img3.doubanio.com/lpic/s1029019.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,7.8,36847
肖申克的救赎,Different Seasons,http://book.douban.com/subject/1829226/,http://img3.douban.com/lpic/s4007145.jpg,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,32485
华胥引（全二册）,,http://book.douban.com/subject/5916880/,http://img3.douban.com/lpic/s4599550.jpg,唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.6,33555
一个陌生女人的来信,Brief einer Unbekannten,http://book.douban.com/subject/2154960/,http://img3.douban.com/lpic/s10310945.jpg,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,33732
小团圆,,http://book.douban.com/subject/3616310/,http://img3.douban.com/lpic/s4197443.jpg,张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00,7.6,37239
钢铁是怎样炼成的,How the Steel Was Tempered,http://book.douban.com/subject/1013502/,http://img3.doubanio.com/lpic/s2241708.jpg,[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,7.6,36554
哭泣的骆驼,,http://book.douban.com/subject/1029111/,http://img3.douban.com/lpic/s1020454.jpg,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,28136
红玫瑰与白玫瑰,,http://book.douban.com/subject/1014278/,http://img3.douban.com/lpic/s3695882.jpg,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.3,33930
麦田里的守望者,The Catcher in the Rye,http://book.douban.com/subject/2053249/,http://img3.doubanio.com/lpic/s2380159.jpg,[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,8.1,34826
在路上,On the Road,http://book.douban.com/subject/1917972/,http://img3.doubanio.com/lpic/s2577057.jpg,[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元,7.8,35458
射雕英雄传（全四册）,,http://book.douban.com/subject/1044547/,http://img3.doubanio.com/lpic/s2157336.jpg,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,8.9,30069
佳期如梦,,http://book.douban.com/subject/1962929/,http://img3.doubanio.com/lpic/s1991548.jpg,匪我思存 / 新世界出版社 / 2007-2 / 20.00元,8.0,34339
此间的少年,,http://book.douban.com/subject/1020459/,http://img3.doubanio.com/lpic/s1068707.jpg,江南 / 华文出版社 / 2004-1 / 25.00元,8.4,33179
货币战争,,http://book.douban.com/subject/2081876/,http://img3.douban.com/lpic/s2533235.jpg,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,7.3,36752
一個人住第5年,,http://book.douban.com/subject/1346815/,http://img3.douban.com/lpic/s7059163.jpg,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,8.4,33036
告别薇安,,http://book.douban.com/subject/1016523/,http://img3.douban.com/lpic/s1650313.jpg,安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00,7.5,36004
